date,dataset_name,seed,K,model,attack_model,budget,misclassification_rate,homophily
2025-08-31 21:36:53.984094,Citeseer,33,0,gcn,metattack,0.05,0.3366745283018868,0.705334023821854
2025-08-31 21:38:29.932583,Citeseer,33,400,gcn,metattack,0.05,0.3820754716981132,0.634049509574965
2025-08-31 21:40:18.342683,Citeseer,33,500,gcn,metattack,0.05,0.3903301886792453,0.5687539005616808
2025-08-31 21:42:21.020545,Citeseer,33,600,gcn,metattack,0.05,0.4569575471698113,0.5010115872723928
2025-08-31 21:44:40.588202,Citeseer,33,700,gcn,metattack,0.05,0.4363207547169812,0.44722312439103606
2025-08-31 21:47:19.646663,Citeseer,33,800,gcn,metattack,0.05,0.4610849056603774,0.39001426533523537
2025-08-31 21:50:22.565468,Citeseer,33,1000,gcn,metattack,0.05,0.4970518867924528,0.3409937888198758
2025-08-31 21:53:59.215966,Citeseer,33,1400,gcn,metattack,0.05,0.4522405660377359,0.3010150137449778
2025-08-31 21:58:21.600997,Citeseer,33,1900,gcn,metattack,0.05,0.39268867924528306,0.2510837830664425
2025-08-31 22:03:56.906907,Citeseer,33,3000,gcn,metattack,0.05,0.3237028301886793,0.20295968466911002
2025-08-31 22:11:32.930743,Citeseer,33,5000,gcn,metattack,0.05,0.25176886792452835,0.15003819709702063
2025-09-02 11:33:20.543644,Citeseer,33,0,gcn,clean,0,0.2895047169811321,0.7347105191628159
2025-09-02 11:33:20.754590,Citeseer,33,400,gcn,clean,0,0.3195754716981132,0.6626624172591321
2025-09-02 11:33:20.959763,Citeseer,33,500,gcn,clean,0,0.36143867924528306,0.5903035597291986
2025-09-02 11:33:21.167694,Citeseer,33,600,gcn,clean,0,0.38915094339622647,0.521915427688743
2025-09-02 11:33:21.398039,Citeseer,33,700,gcn,clean,0,0.40625,0.4597720700799456
2025-09-02 11:33:21.616295,Citeseer,33,800,gcn,clean,0,0.40035377358490565,0.4047013025902081
2025-09-02 11:33:21.857831,Citeseer,33,1000,gcn,clean,0,0.40094339622641517,0.351998958197682
2025-09-02 11:33:22.191650,Citeseer,33,1400,gcn,clean,0,0.35318396226415094,0.29772001321731467
2025-09-02 11:33:22.726092,Citeseer,33,1900,gcn,clean,0,0.22818396226415094,0.24619728572729757
2025-09-02 11:33:23.320399,Citeseer,33,3000,gcn,clean,0,0.07547169811320753,0.19336147077759497
2025-09-02 11:33:23.834005,Citeseer,33,5000,gcn,clean,0,0.014150943396226467,0.14242057010379894
2025-09-02 11:50:05.436144,Citeseer,33,0,h2gcn,clean,0,0.26768867924528306,0.7347105191628159
2025-09-02 11:50:05.624885,Citeseer,33,400,h2gcn,clean,0,0.28773584905660377,0.6626624172591321
2025-09-02 11:50:05.815753,Citeseer,33,500,h2gcn,clean,0,0.33490566037735847,0.5903035597291986
2025-09-02 11:50:06.138389,Citeseer,33,600,h2gcn,clean,0,0.30660377358490565,0.521915427688743
2025-09-02 11:50:06.414598,Citeseer,33,700,h2gcn,clean,0,0.30660377358490565,0.4597720700799456
2025-09-02 11:50:06.611740,Citeseer,33,800,h2gcn,clean,0,0.29952830188679247,0.4047013025902081
2025-09-02 11:50:06.960343,Citeseer,33,1000,h2gcn,clean,0,0.24764150943396224,0.351998958197682
2025-09-02 11:50:07.222675,Citeseer,33,1400,h2gcn,clean,0,0.21167452830188682,0.29772001321731467
2025-09-02 11:50:07.569083,Citeseer,33,1900,h2gcn,clean,0,0.1715801886792453,0.24619728572729757
2025-09-02 11:50:07.894182,Citeseer,33,3000,h2gcn,clean,0,0.1096698113207547,0.19336147077759497
2025-09-02 11:50:08.277945,Citeseer,33,5000,h2gcn,clean,0,0.07311320754716977,0.14242057010379894
2025-09-02 11:52:27.875905,Citeseer,33,0,h2gcn,metattack,0.05,0.29481132075471694,0.7040393578456758
2025-09-02 11:54:03.617140,Citeseer,33,400,h2gcn,metattack,0.05,0.32959905660377353,0.6356842596917328
2025-09-02 11:55:52.103306,Citeseer,33,500,h2gcn,metattack,0.05,0.32959905660377353,0.5677137507801123
2025-09-02 11:57:55.094982,Citeseer,33,600,h2gcn,metattack,0.05,0.3195754716981132,0.49972411256207466
2025-09-02 12:00:14.935796,Citeseer,33,700,h2gcn,metattack,0.05,0.3366745283018868,0.4419961114711601
2025-09-02 12:02:54.365861,Citeseer,33,800,h2gcn,metattack,0.05,0.28714622641509435,0.3897289586305278
2025-09-02 12:05:57.476020,Citeseer,33,1000,h2gcn,metattack,0.05,0.3089622641509434,0.3413270377733598
2025-09-02 12:09:34.517462,Citeseer,33,1400,h2gcn,metattack,0.05,0.2547169811320755,0.29316888045540795
2025-09-02 12:13:57.137042,Citeseer,33,1900,h2gcn,metattack,0.05,0.24292452830188682,0.24653715480442548
2025-09-02 12:19:32.138131,Citeseer,33,3000,h2gcn,metattack,0.05,0.25943396226415094,0.19508781750752222
2025-09-02 12:27:07.954402,Citeseer,33,5000,h2gcn,metattack,0.05,0.1597877358490566,0.14490470139771283
