date,dataset_name,seed,K,model,attack_model,budget,misclassification_rate,homophily
2025-08-22 10:10:24.920677,Chameleon,33,0,gcn,metattack,253,0.5960482985729967,0.23031433811903104
2025-08-22 10:12:18.356136,Chameleon,33,600,gcn,metattack,283,0.5768386388583974,0.22644376899696048
2025-08-22 10:14:26.102745,Chameleon,33,700,gcn,metattack,318,0.6037321624588364,0.22454426885862477
2025-08-22 10:16:49.851150,Chameleon,33,800,gcn,metattack,358,0.6399560922063666,0.21712257873724677
2025-08-22 10:19:33.540173,Chameleon,33,1000,gcn,metattack,408,0.602085620197585,0.20976393310960043
2025-08-22 10:22:45.238996,Chameleon,33,1400,gcn,metattack,478,0.5340285400658618,0.20093033497564064
2025-08-22 10:26:35.261258,Chameleon,33,1900,gcn,metattack,573,0.5329308452250274,0.19093614577350806
2025-08-22 10:31:25.457925,Chameleon,33,3000,gcn,metattack,723,0.44401756311745333,0.1768748492886424
2025-08-22 10:37:55.743136,Chameleon,33,5000,gcn,metattack,973,0.5867178924259056,0.1580841161768508
2025-08-22 10:46:26.929510,Chameleon,33,6000,gcn,metattack,1273,0.3386388583973655,0.1411060433295325
2025-08-22 10:57:17.630609,Chameleon,33,7000,gcn,metattack,1623,0.2985729967069155,0.12603687409745776
2025-08-22 10:59:02.670586,Chameleon,42,0,gcn,metattack,253,0.7091108671789242,0.2291600734223685
2025-08-22 11:00:56.530765,Chameleon,42,600,gcn,metattack,283,0.632821075740944,0.2244118924958103
2025-08-22 11:03:04.440753,Chameleon,42,700,gcn,metattack,318,0.70801317233809,0.22007346913992532
2025-08-22 11:05:28.311850,Chameleon,42,800,gcn,metattack,358,0.6443468715697036,0.21648537301046267
2025-08-22 11:08:12.257660,Chameleon,42,1000,gcn,metattack,408,0.641602634467618,0.20840394060372808
2025-08-22 11:11:24.149942,Chameleon,42,1400,gcn,metattack,478,0.6004390779363337,0.20035807739980718
2025-08-22 11:15:14.648988,Chameleon,42,1900,gcn,metattack,573,0.5329308452250274,0.19004229544149132
2025-08-22 11:20:05.182934,Chameleon,42,3000,gcn,metattack,723,0.579582875960483,0.17592503139793256
2025-08-22 11:26:35.975950,Chameleon,42,5000,gcn,metattack,973,0.6569703622392975,0.1573248134488378
2025-08-22 11:35:07.582405,Chameleon,42,6000,gcn,metattack,1273,0.3391877058177827,0.14067347710934544
2025-08-22 11:45:59.520820,Chameleon,42,7000,gcn,metattack,1623,0.2886937431394072,0.12581983670191407
2025-08-22 11:47:44.380063,Chameleon,56,0,gcn,metattack,253,0.6421514818880352,0.22928928548826025
2025-08-22 11:49:37.924503,Chameleon,56,600,gcn,metattack,283,0.7014270032930845,0.2250946558252126
2025-08-22 11:51:45.259022,Chameleon,56,700,gcn,metattack,318,0.6849615806805708,0.22014506388273497
2025-08-22 11:54:08.521668,Chameleon,56,800,gcn,metattack,358,0.6690450054884742,0.21531993012169484
2025-08-22 11:56:51.857012,Chameleon,56,1000,gcn,metattack,408,0.7777167947310648,0.20905512942055215
2025-08-22 12:00:03.442112,Chameleon,56,1400,gcn,metattack,478,0.7069154774972557,0.20062298425999944
2025-08-22 12:03:53.227937,Chameleon,56,1900,gcn,metattack,573,0.7250274423710208,0.19047246149830332
2025-08-22 12:08:43.371532,Chameleon,56,3000,gcn,metattack,723,0.4484083424807903,0.17648619957537154
2025-08-22 12:15:13.977897,Chameleon,56,5000,gcn,metattack,973,0.44127332601536773,0.15704990088770146
2025-08-22 12:23:44.896395,Chameleon,56,6000,gcn,metattack,1273,0.521953896816685,0.14030816054784098
2025-08-22 12:34:35.947758,Chameleon,56,7000,gcn,metattack,1623,0.36333699231613614,0.12568745808182427
2025-08-22 12:36:20.909635,Chameleon,77,0,gcn,metattack,253,0.6931942919868277,0.2286762844849405
2025-08-22 12:38:14.579129,Chameleon,77,600,gcn,metattack,283,0.6399560922063666,0.22410476013157077
