,date,dataset_name,seed,K,model,attack_model,budget,misclassification_rate,homophily
0,2025-08-27 11:44:46.585565,Cora,33,0,h2gcn,metattack,0.1,0.2278672032193158,0.7492354740061162
1,2025-08-27 11:53:59.082377,Cora,33,0,h2gcn,metattack,0.15,0.2334004024144869,0.7189812424711753
2,2025-08-27 12:06:18.470347,Cora,33,0,h2gcn,metattack,0.2,0.278169014084507,0.690846001321877
3,2025-08-27 12:21:44.171214,Cora,33,0,h2gcn,metattack,0.25,0.3335010060362173,0.661116397082144
4,2025-08-27 12:28:25.794762,Cora,33,400,h2gcn,metattack,0.1,0.2605633802816901,0.6935510748208632
5,2025-08-27 12:38:25.717385,Cora,33,400,h2gcn,metattack,0.15,0.278169014084507,0.6660814046288906
6,2025-08-27 12:51:44.430343,Cora,33,400,h2gcn,metattack,0.2,0.2927565392354124,0.6416513198281154
7,2025-08-27 13:08:24.184391,Cora,33,400,h2gcn,metattack,0.25,0.3415492957746479,0.6154299175500589
8,2025-08-27 13:15:39.482100,Cora,33,500,h2gcn,metattack,0.1,0.2681086519114688,0.6413824743844625
9,2025-08-27 13:26:35.179968,Cora,33,500,h2gcn,metattack,0.15,0.295774647887324,0.6163679106670584
10,2025-08-27 13:41:08.636460,Cora,33,500,h2gcn,metattack,0.2,0.3148893360160966,0.5979308390022676
11,2025-08-27 13:59:20.573787,Cora,33,500,h2gcn,metattack,0.25,0.3088531187122736,0.5727904126378864
12,2025-08-27 14:07:24.646686,Cora,33,600,h2gcn,metattack,0.1,0.2741448692152918,0.5944281114377712
13,2025-08-27 14:19:26.577105,Cora,33,600,h2gcn,metattack,0.15,0.2912474849094567,0.5819361817198486
14,2025-08-27 14:35:29.341429,Cora,33,600,h2gcn,metattack,0.2,0.295271629778672,0.5673879040667362
15,2025-08-27 14:55:29.084354,Cora,33,600,h2gcn,metattack,0.25,0.3561368209255533,0.5108976727004063
